Unit_Number,Lease_or_Own,Status,Utilimarc_Class,Utilimarc_Category,Company_Code_Detail,Class_Code,Description,Unit_Make,Unit_Model,Unit_Year,Age,Unit_In_Service_Date,Unit_Disposal_Date,Unit_GVWR, Purchase_Price_Without_Tax ,Purchase_Price_With_Tax,Depreciated_Value,Lease_Cost,Interest_Cost,Depreciation_Cost,License_Cost,Mechanic_Labor_Cost,Vendor_Cost,Parts_Cost,Fuel_Cost,Other,Overhead_Cost,Total_Cost,Mechanic_Labor_Hours,Annual_Mileage,MRH,Fuel_Gallons,Fuel_Type,Drive_Type,Inservice_Over_Year,Take_home_vehicle,Total_Demand_Repair_Workorders,Total_Preventive_Maintenance_Workorders,Life to date mileage
11867,2,1,99.2,POE,216,84250,TRAILER SUBSTATION,DELTA,MOBILE SUB,2011,8,11/30/2010,,275000,1039378,1039378,207875.6,0,6652.02,66242.93,7972.05,138.46,0,0,0,308.01,801.58,82115.04,90,0,18.37798312,0,,,1,0,0,1,0
11503,2,1,100,Trailer,216,82000,TRAILER JEEP,DELTA,JEEP,2011,8,11/30/2010,,110000,0,0,0,0,0,0,3188.82,230.77,0,0,0,196.2,510.62,4126.41,150,0,11.70707367,0,,,1,0,1,1,0
2282,2,2,99.2,POE,216,84250,TRAILER SUBSTATION,WEST,TRAILER,1965,54,1/1/1965,,70240,0,0,0,0,0,0,2036.21,0,0,0,0,0,0,2036.21,0,0,18.37798312,0,,,0,0,0,0,0
27532,2,1,18.1,Vehicle,312,41200,MANLIFT 6X4 55FT TEREX,International Navistar,7400 SBA,2007,12,1/14/2008,,68000,233183,233183,0,0,0,0,1971.27,10338.3,509.52,3414.31,6911.5,2134.94,5556.16,30836,6720,10286,127.3870232,2526.183,,64,1,0,58,16,109613
27526,2,1,18.1,Vehicle,305,41200,MANLIFT 6X4 55FT TEREX,International Navistar,7400 SBA,2007,12,7/26/2007,,68000,315773,315773,0,0,0,0,1971.27,9692.15,0,2262.49,6633.25,2134.94,5556.16,28250.27,6300,8842,127.3870232,2474.1,,64,1,0,41,19,97644
27528,2,1,18.1,Vehicle,305,41200,MANLIFT 6X4 55FT TEREX,International Navistar,7400 SBA,2007,12,10/17/2007,,68000,224878,224878,0,0,0,0,1971.27,39553.22,0,15056.12,4803.6,2134.94,5556.16,69075.31,25710,6329,127.3870232,1790.5,,64,1,0,36,15,107912
27540,2,1,18.1,Vehicle,329,41200,MANLIFT 6X4 55FT TEREX,International Navistar,7400 SBA,2007,12,9/24/2007,,68000,224878,224878,0,0,0,0,1971.27,17376.65,8157.91,7383.36,3664.91,2134.94,5556.16,46245.21,11295,7197,127.3870232,1334.1,,64,1,0,71,18,80304
27530,2,1,18.1,Vehicle,312,41200,MANLIFT 6X4 55FT TEREX,International Navistar,7400 SBA,2007,12,12/7/2007,,68000,224878,224878,0,0,0,0,1971.27,18008.95,0,5521.05,2890.75,2134.94,5556.16,36083.12,11706,3940,127.3870232,1078.12,,64,1,0,57,18,85859
28554,2,1,18.1,Vehicle,312,41200,MANLIFT 6X4 55FT TEREX,International Navistar,7400 SBA,2008,11,12/19/2008,,68000,222079,222079,0,0,0,0,1971.27,32224.1,0,14381.96,1651.79,2134.94,5556.16,57920.23,20946,1898,127.3870232,636.4,,64,1,0,21,11,42535
28553,2,1,18.1,Vehicle,312,41200,MANLIFT 6X4 55FT TEREX,International Navistar,7500 SBA,2008,11,1/26/2009,,68000,234282,234282,0,0,0,0,1971.27,9295.24,0,2851.29,1361.56,2134.94,5556.16,23170.45,6042,1752,127.3870232,531.6,,64,1,0,27,14,51569
